cdl_dataset/dataset/Iron_clothes/g5.txt,Iron the shirt and the skirt.,"['walk_executor(ironing_board_2144)', 'walk_executor(dresser_274)', 'open_executor(dresser_274)', 'w
alk_executor(bed_197)', 'walk_executor(nightstand_192)', 'walk_executor(nightstand_195)', 'open_exec
utor(nightstand_195)', 'walk_executor(bookshelf_275)', 'walk_executor(washing_machine_2079)', 'open_
executor(washing_machine_2079)', 'walk_executor(trashcan_99)', 'walk_executor(knifeblock_76)', 'walk
_executor(faucet_121)', 'walk_executor(photoframe_219)', 'walk_executor(table_199)', 'walk_executor(
drawing_288)', 'walk_executor(cd_2145)', 'walk_executor(phone_2147)', 'walk_executor(novel_2060)', '
open_executor(novel_2060)', 'walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_exe
cutor(fridge_126)', 'walk_executor(basket_for_clothes_2078)']","Time consume: 229 seconds
Exp_helper query times: 3
Guidance query times: 0
library scale: 4","Keystate: k1 - Requires: 10 steps
Keystate: k2 - Requires: 10 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Clean_the_bathroom/g1.txt,Clean the bathroom sink directly.,"['walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(sink_42)', 'wash_executo
r(sink_42)', 'walk_executor(faucet_43)', 'switchoff_executor(faucet_43)']","Time consume: 11 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 5",1,Scene_id: 0
cdl_dataset/dataset/Drink/g2.txt,Get a cup of water and freeze it.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(stovefan_288)', 'walk_
executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'grab_executor(cup_2063)', 'walk_executor
(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(faucet_43)', 'walk_executor(fridge
_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'putin_executor(cup_2063, fri
dge_289)', 'close_executor(fridge_289)', 'open_executor(fridge_289)', 'close_executor(fridge_289)']","Time consume: 100 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6",1,Scene_id: 0
cdl_dataset/dataset/Prepare_a_reading_space/g2.txt,Syntax Error,"['walk_executor(bookshelf_372)', 'open_executor(bookshelf_372)', 'walk_executor(bookshelf_136)', 'wa
lk_executor(book_2091)']","Time consume: 94 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6","Keystate: k1 - Requires: 3 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_breakfast/g3.txt,Boil egg.,"['walk_executor(kitchen_counter_122)', 'walk_executor(cupboard_118)', 'open_executor(cupboard_118)',
 'walk_executor(pot_78)', 'walk_executor(stove_2135)', 'open_executor(stove_2135)', 'walk_executor(f
ridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_executor(pot_2138)
', 'open_executor(pot_2138)', 'walk_executor(food_egg_2092)', 'grab_executor(food_egg_2092)', 'walk_
executor(pot_2138)', 'putin_executor(food_egg_2092, pot_2138)', 'grab_executor(pot_2138)', 'walk_exe
cutor(faucet_20)', 'switchon_executor(faucet_20)', 'switchoff_executor(faucet_20)', 'walk_executor(s
tove_2135)', 'close_executor(stove_2135)', 'switchon_executor(stove_2135)']","Time consume: 37 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6","Keystate: k1 - Requires: 1 steps
Action Completion Rate: No actions required",Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_258)', 'switchon_executor(light_258)']","Time consume: 9 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 6","Keystate: k1 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g3.txt,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_275)', 'walk_executor(bookshelf_124)', 'open_executor(bookshelf_124)', 'wa
lk_executor(book_2136)', 'grab_executor(book_2136)', 'walk_executor(table_270)', 'put_executor(book_
2136, table_270)', 'walk_executor(window_310)', 'open_executor(window_310)']","Time consume: 29 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 8",1,Scene_id: 1
cdl_dataset/dataset/Turn_on_light/g3.txt,Make sure there is at least one light on in every room.,"['walk_executor(bathroom_1)', 'walk_executor(dining_room_41)', 'walk_executor(bedroom_162)', 'walk_e
xecutor(home_office_241)', 'walk_executor(light_39)', 'walk_executor(light_73)', 'walk_executor(ligh
t_212)', 'walk_executor(light_283)', 'walk_executor(light_39)', 'switchon_executor(light_39)', 'walk
_executor(light_73)', 'switchon_executor(light_73)', 'walk_executor(light_212)', 'switchon_executor(
light_212)', 'walk_executor(light_283)', 'switchon_executor(light_283)']","Time consume: 44 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 11",1,Scene_id: 1
cdl_dataset/dataset/Wash_clothes/g1.txt,Wash all the clothes in the basket for clothes by washing machine.,"['walk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_392)', 'walk_executor(closetdrawer_3
84)', 'walk_executor(closetdrawer_120)', 'walk_executor(trashcan_99)', 'walk_executor(closetdrawer_1
18)', 'walk_executor(bathroom_counter_41)', 'walk_executor(bathtub_30)', 'walk_executor(basket_for_c
lothes_2006)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_e
xecutor(clothes_pants_2085)', 'grab_executor(clothes_pants_2085)', 'walk_executor(washing_machine_20
07)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'walk_executor(clothes_shirt_2086)
', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washing_machine_2007)', 'putin_executor(cloth
es_shirt_2086, washing_machine_2007)', 'walk_executor(clothes_socks_2087)', 'grab_executor(clothes_s
ocks_2087)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_socks_2087, washing_mach
ine_2007)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(clothes_skirt_2088)', 'walk_executor
(washing_machine_2007)', 'putin_executor(clothes_skirt_2088, washing_machine_2007)', 'plugin_executo
r(washing_machine_2007)', 'close_executor(washing_machine_2007)', 'switchon_executor(washing_machine
_2007)']","Time consume: 81 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 13",1,Scene_id: 0
cdl_dataset/dataset/Pet_cat/g5.txt,Shower my cat in the bathtub. Use towel to dry my cat.,[],"Time consume: 54 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 13","Keystate: k1 - Requires: 6 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: 0.0",Scene_id: 1
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g2.txt,Put cleaning solution in the dishwasher. Then wash the bowls and the plates with dishwasher.,"['walk_executor(kitchen_counter_132)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)',
 'open_executor(cupboard_131)', 'walk_executor(dishwasher_143)', 'open_executor(dishwasher_143)', 'w
alk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor(fridge_140)', 'walk_exec
utor(bathroom_cabinet_305)', 'open_executor(bathroom_cabinet_305)', 'walk_executor(sink_133)', 'walk
_executor(cleaning_solution_2098)', 'grab_executor(cleaning_solution_2098)', 'walk_executor(dishwash
er_143)', 'putin_executor(cleaning_solution_2098, dishwasher_143)', 'walk_executor(tray_142)', 'walk
_executor(kitchen_counter_129)', 'walk_executor(kitchen_counter_128)', 'walk_executor(table_123)', '
walk_executor(table_127)', 'walk_executor(plate_2105)', 'grab_executor(plate_2105)', 'walk_executor(
dishwasher_143)', 'putin_executor(plate_2105, dishwasher_143)', 'close_executor(dishwasher_143)', 's
witchon_executor(dishwasher_143)', 'switchoff_executor(dishwasher_143)', 'open_executor(dishwasher_1
43)', 'walk_executor(bowl_2095)', 'grab_executor(bowl_2095)', 'walk_executor(dishwasher_143)', 'puti
n_executor(bowl_2095, dishwasher_143)', 'walk_executor(bowl_2096)', 'grab_executor(bowl_2096)', 'wal
k_executor(dishwasher_143)', 'putin_executor(bowl_2096, dishwasher_143)', 'walk_executor(bowl_2097)'
, 'grab_executor(bowl_2097)', 'walk_executor(dishwasher_143)', 'putin_executor(bowl_2097, dishwasher
_143)', 'close_executor(dishwasher_143)', 'switchon_executor(dishwasher_143)']","Time consume: 264 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 15",1,Scene_id: 2
cdl_dataset/dataset/Wash_windows/g1.txt,Open the windows in the bathroom.,"['walk_executor(window_287)', 'open_executor(window_287)']","Time consume: 8 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 16",1,Scene_id: 2
cdl_dataset/dataset/Wash_dishes_with_dishwasher/g1.txt,wash the bowls and the plates with dishwasher,"['walk_executor(dishwasher_1001)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229
)', 'open_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_executor(wallshelf_35)', 'walk_e
xecutor(wallshelf_234)', 'walk_executor(wallshelf_235)', 'walk_executor(table_226)', 'walk_executor(
dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(bowl_2071)', 'grab_executor(bowl
_2071)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_2071, dishwasher_1001)', 'walk_execu
tor(bowl_2072)', 'grab_executor(bowl_2072)', 'walk_executor(dishwasher_1001)', 'putin_executor(bowl_
2072, dishwasher_1001)', 'walk_executor(plate_1000)', 'grab_executor(plate_1000)', 'walk_executor(di
shwasher_1001)', 'putin_executor(plate_1000, dishwasher_1001)']","Time consume: 84 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 16","Keystate: k1 - Requires: 0 steps
Keystate: k2 - Requires: 2 steps
Action Completion Rate: No actions required",Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g1.txt,"Put milk, turkey, egg, fish and chicken on the table in dining room.","['walk_executor(table_123)', 'walk_executor(table_127)', 'walk_executor(table_193)', 'walk_executor(
kitchen_counter_132)', 'walk_executor(fridge_140)', 'switchoff_executor(fridge_140)', 'open_executor
(fridge_140)', 'open_executor(milk_2074) (Failed)', 'open_executor(milk_2074) (Failed)', 'walk_execu
tor(kitchen_counter_128)', 'walk_executor(fridge_140)', 'walk_executor(kitchen_counter_128)', 'walk_
executor(fridge_140)', 'walk_executor(kitchen_counter_128)', 'walk_executor(fridge_140)', 'walk_exec
utor(kitchen_counter_128)', 'walk_executor(fridge_140)', 'walk_executor(kitchen_counter_128)', 'walk
_executor(food_chicken_2050)', 'grab_executor(food_chicken_2050)', 'walk_executor(table_123)', 'put_
executor(food_chicken_2050, table_123)', 'walk_executor(food_egg_2053)', 'grab_executor(food_egg_205
3)', 'walk_executor(table_123)', 'put_executor(food_egg_2053, table_123)', 'walk_executor(food_fish_
2054)', 'grab_executor(food_fish_2054)', 'walk_executor(table_123)', 'put_executor(food_fish_2054, t
able_123)', 'walk_executor(food_turkey_2071)', 'grab_executor(food_turkey_2071)', 'walk_executor(tab
le_123)', 'put_executor(food_turkey_2071, table_123)', 'walk_executor(milk_2074)', 'grab_executor(mi
lk_2074)', 'walk_executor(table_123)', 'put_executor(milk_2074, table_123)']","Time consume: 120 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 18",1,Scene_id: 2
cdl_dataset/dataset/Prepare_dinner/g1.txt,Boil some rice by pot.,"['walk_executor(kitchen_counter_132)', 'walk_executor(stove_2090)', 'open_executor(stove_2090)', 'wa
lk_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(faucet_134)', 'switchoff_executor(
faucet_134)', 'walk_executor(stove_2090)', 'put_executor(pot_2093, stove_2090)', 'close_executor(sto
ve_2090)', 'switchon_executor(stove_2090)', 'grab_executor(pot_2093)', 'walk_executor(sink_133)', 'p
utin_executor(pot_2093, sink_133)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134)', 'w
alk_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(faucet_134)', 'switchoff_executor
(faucet_134)', 'walk_executor(stove_2090)', 'put_executor(pot_2093, stove_2090)', 'walk_executor(fau
cet_134)', 'switchon_executor(faucet_134)', 'walk_executor(pot_2093)', 'grab_executor(pot_2093)', 'w
alk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'walk_executor(stove_2090)', 'put_execu
tor(pot_2093, stove_2090)', 'grab_executor(pot_2093)', 'walk_executor(sink_133)', 'putin_executor(po
t_2093, sink_133)', 'walk_executor(faucet_134)', 'switchon_executor(faucet_134)', 'walk_executor(pot
_2093)', 'grab_executor(pot_2093)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', '
walk_executor(stove_2090)', 'put_executor(pot_2093, stove_2090)', 'grab_executor(pot_2093)', 'walk_e
xecutor(sink_133)', 'putin_executor(pot_2093, sink_133)', 'walk_executor(faucet_134)', 'switchon_exe
cutor(faucet_134)', 'walk_executor(pot_2093)', 'grab_executor(pot_2093)', 'walk_executor(faucet_134)
', 'switchoff_executor(faucet_134)', 'walk_executor(stove_2090)', 'put_executor(pot_2093, stove_2090
)']","Time consume: 177 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 18","Keystate: k1 - Requires: 15 steps
Action Completion Rate: No actions required",Scene_id: 2
cdl_dataset/dataset/Put_groceries_in_Fridge/g4.txt,"Cut the chicken into pieces, then put back to the fridge.","['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'walk_e
xecutor(kitchen_counter_122)', 'walk_executor(kitchen_counter_123)', 'walk_executor(cupboard_118)', 
'open_executor(cupboard_118)', 'walk_executor(kitchen_counter_119)', 'walk_executor(food_chicken_208
9)', 'grab_executor(food_chicken_2089)', 'walk_executor(cutting_board_2123)', 'put_executor(food_chi
cken_2089, cutting_board_2123)', 'walk_executor(knifeblock_76)', 'walk_executor(knife_2035)', 'walk_
executor(oven_127)', 'open_executor(oven_127)', 'walk_executor(desk_272)', 'walk_executor(pot_78)', 
'walk_executor(table_199)', 'walk_executor(cupboard_117)', 'walk_executor(table_114)', 'walk_executo
r(knife_2122)', 'grab_executor(knife_2122)', 'walk_executor(food_chicken_2089)', 'cut_executor(food_
chicken_2089)', 'grab_executor(food_chicken_2089)', 'walk_executor(fridge_126)', 'putin_executor(foo
d_chicken_2089, fridge_126)', 'close_executor(fridge_126)']","Time consume: 193 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 19",1,Scene_id: 1
cdl_dataset/dataset/Drink/g1.txt,Syntax Error,"['walk_executor(kitchen_counter_132)', 'walk_executor(kitchen_counter_128)', 'walk_executor(kitchen_
counter_129)', 'walk_executor(cupboard_130)', 'walk_executor(cupboard_131)', 'open_executor(cupboard
_131)', 'walk_executor(sink_133)', 'walk_executor(table_123)', 'walk_executor(cup_2087)', 'grab_exec
utor(cup_2087)', 'walk_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'switchon_executor(f
aucet_134)', 'switchoff_executor(faucet_134)', 'switchon_executor(faucet_134)', 'switchoff_executor(
faucet_134)', 'switchon_executor(faucet_134)', 'switchoff_executor(faucet_134)', 'switchon_executor(
faucet_134)', 'walk_executor(sink_133)', 'walk_executor(faucet_134)', 'put_executor(cup_2087, faucet
_134)']","Time consume: 431 seconds
Exp_helper query times: 1
Guidance query times: 0
library scale: 19",Action Completion Rate: 1.0,Scene_id: 2
cdl_dataset/dataset/Turn_on_light/g2.txt,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_169)', 'switchon_executor(light_169)', 'walk_executor(light_64)', 'switchon_ex
ecutor(light_64)']","Time consume: 20 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 20",1,Scene_id: 0
cdl_dataset/dataset/Put_groceries_in_Fridge/g2.txt,"Wash the fish at first. Then put milk, turkey, eggs, fish and chicken on the table in dining room.","['walk_executor(fridge_126)', 'switchoff_executor(fridge_126)', 'open_executor(fridge_126)', 'grab_e
xecutor(food_fish_2093)', 'walk_executor(sink_19)', 'putin_executor(food_fish_2093, sink_19)', 'walk
_executor(faucet_20)', 'switchon_executor(faucet_20)', 'walk_executor(food_fish_2093)', 'wash_execut
or(food_fish_2093)', 'walk_executor(food_chicken_2089)', 'grab_executor(food_chicken_2089)', 'walk_e
xecutor(table_114)', 'put_executor(food_chicken_2089, table_114)', 'walk_executor(food_egg_2092)', '
grab_executor(food_egg_2092)', 'walk_executor(table_114)', 'put_executor(food_egg_2092, table_114)',
 'walk_executor(food_fish_2093)', 'grab_executor(food_fish_2093)', 'walk_executor(table_114)', 'put_
executor(food_fish_2093, table_114)', 'walk_executor(food_turkey_2112)', 'grab_executor(food_turkey_
2112)', 'walk_executor(table_114)', 'put_executor(food_turkey_2112, table_114)', 'walk_executor(cupb
oard_117)', 'walk_executor(milk_2115)', 'grab_executor(milk_2115)', 'put_executor(milk_2115, table_1
14)']","Time consume: 90 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 20","Keystate: k1 - Requires: 4 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 1.0",Scene_id: 1
cdl_dataset/dataset/Iron_clothes/g4.txt,"Iron a shirt, and put it in on the bed.","['walk_executor(ironing_board_2099)', 'walk_executor(washing_machine_2041)', 'open_executor(washing_
machine_2041)', 'walk_executor(kitchen_counter_132)', 'walk_executor(fridge_140)', 'switchoff_execut
or(fridge_140)', 'open_executor(fridge_140)', 'walk_executor(iron_2117)', 'walk_executor(cupboard_13
1)', 'open_executor(cupboard_131)', 'walk_executor(toilet_302)', 'open_executor(toilet_302)', 'walk_
executor(photoframe_361)', 'walk_executor(tvstand_135)', 'walk_executor(coffe_maker_147)', 'open_exe
cutor(coffe_maker_147)', 'walk_executor(doorjamb_182)', 'walk_executor(bathtub_297)', 'walk_executor
(basket_for_clothes_2040)', 'grab_executor(clothes_shirt_2114)', 'walk_executor(ironing_board_2099)'
, 'put_executor(clothes_shirt_2114, ironing_board_2099)', 'grab_executor(clothes_shirt_2114)', 'walk
_executor(bed_264)', 'put_executor(clothes_shirt_2114, bed_264)']","Time consume: 140 seconds
Exp_helper query times: 2
Guidance query times: 0
library scale: 20","Keystate: k1 - Requires: 9 steps
Keystate: k2 - Requires: 0 steps
Action Completion Rate: 0.0",Scene_id: 2
cdl_dataset/dataset/Prepare_a_reading_space/g5.txt,"Find my spectacles and put it on the coffe table in home office. Then find the book and put it on th
e coffe table in home office.","['walk_executor(coffee_table_2068)', 'walk_executor(spectacles_2082)', 'grab_executor(spectacles_208
2)', 'walk_executor(coffee_table_2068)', 'put_executor(spectacles_2082, coffee_table_2068)', 'walk_e
xecutor(book_2066)', 'grab_executor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(b
ook_2066, coffee_table_2068)']","Time consume: 24 seconds
Exp_helper query times: 0
Guidance query times: 0
library scale: 22",1,Scene_id: 0
