Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(coffe_maker_290)', 'op
en_executor(coffe_maker_290)', 'walk_executor(closetdrawer_388)', 'walk_executor(closetdrawer_120)',
 'walk_executor(closetdrawer_160)', 'walk_executor(wallshelf_35)', 'walk_executor(table_226)', 'walk
_executor(coffee_filter_2000)', 'grab_executor(coffee_filter_2000)', 'walk_executor(coffe_maker_290)
', 'putin_executor(coffee_filter_2000, coffe_maker_290)', 'walk_executor(faucet_232)', 'switchon_exe
cutor(faucet_232)', 'switchoff_executor(faucet_232)']",False,"Keystate: k1 - Completion Rate: 0.25
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g1.txt
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_chicken_2017)', 'walk_executor(kitchen_counter_230)', 'walk_executor(food_chicken_2017)
', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)', 'put_executor(food_chick
en_2017, cutting_board_2051)', 'walk_executor(kitchen_counter_230)', 'walk_executor(knife_2050)', 'g
rab_executor(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_executor(food_chicken_2017)']",True,1,cdl_dataset/dataset/Cook_some_food/g2.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g3.txt
Cook some food,Put vegetables in a pot and boil them on the stove.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2
041)', 'walk_executor(pot_2069)', 'put_executor(food_vegetable_2041, pot_2069)', 'grab_executor(pot_
2069)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switchon_executor(stove_
2065)']",False,"Keystate: k1 - Completion Rate: 0.6153846153846154
Keystate: k2 - Completion Rate: 0.2941176470588235
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g1.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.",[],False,"Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g4.txt
Prepare breakfast,Scramble egg by the fryingpan.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_egg_2020)', 'walk_executor(dishwasher_1001)', 'op
en_executor(dishwasher_1001)', 'walk_executor(sink_42)', 'walk_executor(closetdrawer_160)', 'walk_ex
ecutor(table_226)', 'walk_executor(bowl_2071)', 'walk_executor(food_egg_2020)', 'grab_executor(food_
egg_2020)', 'walk_executor(bowl_2071)', 'putin_executor(food_egg_2020, bowl_2071)', 'walk_executor(f
ood_egg_2020)', 'move_executor(food_egg_2020)', 'wash_executor(bowl_2071)', 'walk_executor(fryingpan
_2083)', 'grab_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083,
 stove_2065)', 'switchon_executor(stove_2065)']",False,"Keystate: k1 - Completion Rate: 0.4666666666666667
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g2.txt
Prepare breakfast,Boil egg.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(stove_2065)', 'open_ex
ecutor(stove_2065)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)
', 'switchon_executor(faucet_43)']",True,1,cdl_dataset/dataset/Prepare_breakfast/g3.txt
Prepare breakfast,Slice and toast bread.,[],False,"Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g1.txt
Prepare breakfast,"Make chicken pasta, put it in a plate.","['walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(food_chicken_2017)', 'walk_executor(fridge_289)', 'walk_executor(dry_pasta_2042)', 'walk_exe
cutor(stove_2065)', 'open_executor(stove_2065)', 'walk_executor(food_chicken_2017)', 'grab_executor(
food_chicken_2017)', 'walk_executor(stove_2065)', 'putin_executor(food_chicken_2017, stove_2065)', '
walk_executor(dry_pasta_2042)', 'grab_executor(dry_pasta_2042)', 'walk_executor(stove_2065)', 'putin
_executor(dry_pasta_2042, stove_2065)', 'close_executor(stove_2065)', 'switchon_executor(stove_2065)
']",False,"Keystate: k1 - Completion Rate: 0
Keystate: k2 - Completion Rate: 0
Keystate: k3 - Completion Rate: 0.18181818181818177
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g4.txt
Pet cat,Slice some chicken and give it to my cat.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_chicken_2017)', 'grab_executor(food_chicken_2017)
', 'walk_executor(cutting_board_2051)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'walk
_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_executor(food_chicken_2017)', 'cut_execut
or(food_chicken_2017)', 'walk_executor(closetdrawer_388)', 'walk_executor(cat_2055)', 'walk_executor
(food_chicken_2017)', 'grab_executor(food_chicken_2017)', 'walk_executor(cat_2055)', 'put_executor(f
ood_chicken_2017, cat_2055)']",True,1,cdl_dataset/dataset/Pet_cat/g2.txt
