Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', 'grab_executor(cup_2063)', 'swi
tchon_executor(coffe_maker_290)', 'putin_executor(cup_2063, coffe_maker_290)']","Time consume: 49 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Make_coffee/g1.txt
Cook some food,slice some chicken,"['walk_executor(fridge_289)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chick
en_2017) (Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chicken_2017) (
Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'walk_executor(kitchen_counter_230)', 'grab_e
xecutor(knife_2050)', 'put_executor(knife_2050, kitchen_counter_230)', 'walk_executor(food_chicken_2
017)', 'grab_executor(food_chicken_2017) (Failed)', 'grab_executor(food_chicken_2017) (Failed)', 'gr
ab_executor(food_chicken_2017) (Failed)', 'grab_executor(cutting_board_2051) (Failed)', 'grab_execut
or(cutting_board_2051) (Failed)', 'grab_executor(cutting_board_2051) (Failed)', 'grab_executor(cutti
ng_board_2051) (Failed)', 'walk_executor(cutting_board_2051)', 'grab_executor(cutting_board_2051)', 
'put_executor(cutting_board_2051, kitchen_counter_230)', 'grab_executor(knife_2050)', 'walk_executor
(food_chicken_2017)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(
food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, cutting_board_205
1) (Failed)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chi
cken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, cutting_board_2051) (Fail
ed)', 'put_executor(knife_2050, kitchen_counter_230)', 'grab_executor(food_chicken_2017) (Failed)', 
'grab_executor(cutting_board_2051)', 'put_executor(cutting_board_2051, kitchen_counter_230)', 'grab_
executor(knife_2050)', 'put_executor(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor
(food_chicken_2017, cutting_board_2051) (Failed)', 'put_executor(food_chicken_2017, cutting_board_20
51) (Failed)', 'cut_executor(food_chicken_2017)']","Time consume: 243 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Cook_some_food/g2.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.","['walk_executor(cupboard_229)', 'walk_executor(sink_231)', 'walk_executor(cupboard_229)', 'walk_exec
utor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(si
nk_231)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(fridge_289)',
 'grab_executor(food_vegetable_2041) (Failed)', 'open_executor(fridge_289) (Failed)', 'grab_executor
(food_vegetable_2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)', 'open_executor(fridg
e_289) (Failed)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041) (Failed)
', 'walk_executor(sink_231)', 'grab_executor(pot_2069)', 'walk_executor(food_vegetable_2041)', 'wash
_executor(food_vegetable_2041)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'putin_ex
ecutor(food_vegetable_2041, pot_2069) (Failed)', 'putin_executor(pot_2069, food_vegetable_2041)', 'w
alk_executor(stove_2065)', 'switchon_executor(stove_2065)', 'switchoff_executor(stove_2065)', 'walk_
executor(cupboard_229)', 'walk_executor(pot_2069)', 'walk_executor(cupboard_229)', 'walk_executor(cu
pboard_229)', 'walk_executor(fridge_289)', 'walk_executor(cupboard_229)']","Time consume: 370 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g3.txt
cdl_dataset/dataset/Cook_some_food/g1.txt,Syntax Error,None,None,None,cdl_dataset/dataset/Cook_some_food/g1.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.","['walk_executor(cupboard_229)', 'walk_executor(fridge_289)', 'grab_executor(food_vegetable_2041) (Fa
iled)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'walk_executor(f
ood_vegetable_2041)', 'walk_executor(sink_231)', 'wash_executor(food_vegetable_2041) (Failed)', 'gra
b_executor(pot_2069)', 'put_executor(pot_2069, kitchen_counter_230)', 'grab_executor(food_vegetable_
2041) (Failed)', 'grab_executor(food_vegetable_2041) (Failed)', 'grab_executor(food_vegetable_2041) 
(Failed)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041) (Failed)', 'wal
k_executor(sink_231)', 'walk_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041) (Fa
iled)', 'wash_executor(food_vegetable_2041)', 'grab_executor(food_vegetable_2041) (Failed)', 'putin_
executor(food_vegetable_2041, pot_2069) (Failed)', 'switchon_executor(stove_2065) (Failed)', 'putin_
executor(food_vegetable_2041, pot_2069) (Failed)', 'putin_executor(food_vegetable_2041, pot_2069) (F
ailed)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'putin_executor(food_vegetable_20
41, pot_2069) (Failed)', 'putin_executor(food_vegetable_2041, pot_2069) (Failed)', 'putin_executor(f
ood_vegetable_2041, pot_2069) (Failed)', 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'put_
executor(pot_2069, stove_2065)', 'switchon_executor(stove_2065)', 'switchoff_executor(stove_2065)', 
'walk_executor(fridge_289)', 'grab_executor(pot_2069) (Failed)', 'grab_executor(pot_2069) (Failed)',
 'grab_executor(pot_2069) (Failed)', 'grab_executor(pot_2069) (Failed)', 'grab_executor(pot_2069) (F
ailed)', 'grab_executor(pot_2069) (Failed)', 'grab_executor(pot_2069) (Failed)', 'grab_executor(pot_
2069) (Failed)', 'grab_executor(pot_2069) (Failed)']","Time consume: 464 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.15384615384615385
Keystate: k2 - Completion Rate: 0.11764705882352944
Keystate: k3 - Completion Rate: 0.1428571428571429
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g4.txt
Prepare breakfast,Scramble egg by the fryingpan.,"['walk_executor(stove_2065)', 'walk_executor(fryingpan_2083)', 'walk_executor(stove_2065)', 'walk_ex
ecutor(fryingpan_2083)', 'walk_executor(dishwasher_1001)', 'walk_executor(fryingpan_2083)', 'walk_ex
ecutor(kitchen_counter_230)', 'walk_executor(stove_2065)', 'walk_executor(fridge_289)', 'grab_execut
or(food_egg_2020) (Failed)', 'open_executor(fridge_289) (Failed)', 'walk_executor(food_egg_2020)', '
grab_executor(food_egg_2020) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_
289) (Failed)', 'grab_executor(fryingpan_2083) (Failed)', 'open_executor(fridge_289) (Failed)', 'ope
n_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'walk_executor(stove_2065)',
 'switchon_executor(stove_2065)', 'grab_executor(fryingpan_2083)', 'put_executor(fryingpan_2083, sto
ve_2065)', 'walk_executor(fridge_289)', 'grab_executor(food_egg_2020) (Failed)', 'open_executor(frid
ge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'putin_executor(food_egg_2020, fryingpan_20
83) (Failed)', 'walk_executor(kitchen_counter_230)', 'grab_executor(food_egg_2020) (Failed)', 'grab_
executor(sauce_2078) (Failed)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'cut_execu
tor(food_egg_2020) (Failed)', 'cut_executor(food_egg_2020) (Failed)', 'put_executor(knife_2050, kitc
hen_counter_230)', 'open_executor(fridge_289) (Failed)', 'walk_executor(food_egg_2020)', 'open_execu
tor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)']","Time consume: 276 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.2666666666666667
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g2.txt
Prepare breakfast,Boil egg.,"['walk_executor(kitchen_counter_230)', 'walk_executor(pot_2069)', 'walk_executor(fridge_289)', 'grab
_executor(food_egg_2020) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289)
 (Failed)', 'switchon_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'walk_ex
ecutor(sink_231)', 'walk_executor(pot_2069)', 'walk_executor(sauce_2078)', 'plugin_executor(fridge_2
89) (Failed)', 'walk_executor(stove_2065)', 'walk_executor(pot_2069)', 'walk_executor(faucet_232)', 
'walk_executor(pot_2069)', 'switchon_executor(stove_2065)', 'put_executor(pot_2069, stove_2065) (Fai
led)', 'grab_executor(pot_2069)', 'put_executor(pot_2069, stove_2065)', 'walk_executor(fridge_289)',
 'open_executor(fridge_289) (Failed)', 'walk_executor(faucet_232)', 'walk_executor(food_egg_2020)', 
'grab_executor(food_egg_2020) (Failed)', 'putin_executor(food_egg_2020, pot_2069) (Failed)', 'open_e
xecutor(fridge_289) (Failed)', 'walk_executor(food_egg_2020)', 'grab_executor(food_egg_2020) (Failed
)', 'grab_executor(food_egg_2020) (Failed)', 'switchoff_executor(stove_2065) (Failed)', 'putin_execu
tor(food_egg_2020, pot_2069) (Failed)', 'grab_executor(food_egg_2020) (Failed)', 'switchon_executor(
fridge_289) (Failed)', 'grab_executor(food_egg_2020) (Failed)', 'plugin_executor(fridge_289) (Failed
)', 'grab_executor(food_egg_2020) (Failed)', 'grab_executor(food_egg_2020) (Failed)', 'grab_executor
(food_egg_2020) (Failed)', 'open_executor(fridge_289) (Failed)', 'plugin_executor(fridge_289) (Faile
d)', 'walk_executor(faucet_232)', 'grab_executor(faucet_232) (Failed)', 'walk_executor(faucet_232)',
 'walk_executor(sink_231)', 'walk_executor(pot_2069)', 'walk_executor(food_egg_2020)', 'open_executo
r(fridge_289) (Failed)', 'grab_executor(faucet_232) (Failed)', 'walk_executor(pot_2069)', 'grab_exec
utor(pot_2069)']","Time consume: 362 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.4
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g3.txt
Prepare breakfast,Slice and toast bread.,"['walk_executor(dining_room_201)', 'walk_executor(kitchen_counter_230)', 'walk_executor(toaster_292)
', 'walk_executor(kitchen_counter_230)', 'walk_executor(cutting_board_2051)', 'walk_executor(cupboar
d_229)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)'
, 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk
_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'walk_executor(cutting_board_2051)',
 'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)', 'walk_executor(cutting_board_2051)', 
'walk_executor(cupboard_229)', 'walk_executor(cupboard_229)']","Time consume: 152 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g1.txt
Prepare breakfast,"Make chicken pasta, put it in a plate.",['walk_executor(dining_room_201)'],"Time consume: 84 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g4.txt
Pet cat,Slice some chicken and give it to my cat.,"['walk_executor(dining_room_201)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) 
(Failed)', 'walk_executor(fridge_289)', 'grab_executor(food_chicken_2017) (Failed)', 'open_executor(
fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', '
open_executor(fridge_289) (Failed)', 'open_executor(fridge_289) (Failed)', 'switchoff_executor(fridg
e_289)', 'grab_executor(food_chicken_2017) (Failed)', 'open_executor(fridge_289)', 'grab_executor(fo
od_chicken_2017)', 'cut_executor(food_chicken_2017) (Failed)', 'cut_executor(food_chicken_2017) (Fai
led)', 'cut_executor(food_chicken_2017) (Failed)', 'cut_executor(food_chicken_2017) (Failed)', 'cut_
executor(food_chicken_2017) (Failed)', 'cut_executor(food_chicken_2017) (Failed)', 'walk_executor(si
nk_231)', 'put_executor(food_chicken_2017, cutting_board_2051)', 'grab_executor(knife_2050)', 'cut_e
xecutor(food_chicken_2017)', 'put_executor(food_chicken_2017, plate_1000) (Failed)', 'put_executor(f
ood_chicken_2017, plate_1000) (Failed)', 'put_executor(food_chicken_2017, plate_1000) (Failed)', 'pu
t_executor(food_chicken_2017, plate_1000) (Failed)', 'put_executor(food_chicken_2017, plate_1000) (F
ailed)', 'grab_executor(food_chicken_2017)', 'walk_executor(home_office_319)', 'walk_executor(couch_
352)', 'put_executor(food_chicken_2017, cat_2055)']","Time consume: 304 seconds
Exp_helper query times: 5",1,cdl_dataset/dataset/Pet_cat/g2.txt
