Goal Representation,Debug Result,Action,Add Info,LLM Answer,Plan
Make coffee,make a cup of coffee using the coffee maker.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(toaster_292)', 'walk_executor(coffe_maker_290)', 'open_executor(coffe_maker_290)', '
walk_executor(microwave_297)', 'switchoff_executor(microwave_297)', 'open_executor(microwave_297)', 
'walk_executor(closetdrawer_120)', 'walk_executor(table_226)', 'walk_executor(coffee_filter_2000)', 
'grab_executor(coffee_filter_2000)', 'walk_executor(coffe_maker_290)', 'put_executor(coffee_filter_2
000, coffe_maker_290)']","Time consume: 294 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.25
Action Completion Rate: No actions required",cdl_dataset/dataset/Make_coffee/g1.txt
Cook some food,slice some chicken,"['walk_executor(kitchen_counter_230)', 'walk_executor(cutting_board_2051)', 'walk_executor(fridge_28
9)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(food_chicken_2017
)', 'grab_executor(food_chicken_2017)', 'walk_executor(cutting_board_2051)', 'put_executor(food_chic
ken_2017, cutting_board_2051)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'walk_exec
utor(food_chicken_2017)', 'cut_executor(food_chicken_2017)']","Time consume: 137 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Cook_some_food/g2.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then cool them in a bowl
.",[],"Time consume: 106 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g3.txt
Cook some food,Put vegetables in a pot and boil them on the stove.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_e
xecutor(pot_2069)', 'open_executor(pot_2069)', 'walk_executor(food_vegetable_2041)', 'grab_executor(
food_vegetable_2041)', 'walk_executor(pot_2069)', 'putin_executor(food_vegetable_2041, pot_2069)', '
grab_executor(pot_2069)', 'walk_executor(stove_2065)', 'put_executor(pot_2069, stove_2065)', 'switch
on_executor(stove_2065)']","Time consume: 228 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.6470588235294117
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g1.txt
Cook some food,"Wash all the vegetables, then put them in a pot and boil them on the stove. Then store the whole pot
 in the fridge.",[],"Time consume: 122 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Cook_some_food/g4.txt
Prepare breakfast,Scramble egg by the fryingpan.,[],"Time consume: 104 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g2.txt
Prepare breakfast,Boil egg.,"['walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_executor(kitchen_counter_230)',
 'walk_executor(pot_2069)', 'grab_executor(pot_2069)', 'walk_executor(faucet_43)', 'switchon_executo
r(faucet_43)']","Time consume: 222 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Prepare_breakfast/g3.txt
Prepare breakfast,Slice and toast bread.,"['walk_executor(kitchen_counter_230)', 'walk_executor(knife_2050)', 'grab_executor(knife_2050)', 'wa
lk_executor(toaster_292)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', 'walk_execu
tor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)', 'walk_executor(food
_bread_2012)', 'grab_executor(food_bread_2012)', 'walk_executor(cutting_board_2051)', 'put_executor(
food_bread_2012, cutting_board_2051)', 'walk_executor(food_bread_2012)', 'cut_executor(food_bread_20
12)', 'grab_executor(food_bread_2012)', 'walk_executor(toaster_292)', 'putin_executor(food_bread_201
2, toaster_292)', 'switchon_executor(toaster_292)']","Time consume: 150 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Prepare_breakfast/g1.txt
Prepare breakfast,"Make chicken pasta, put it in a plate.",[],"Time consume: 145 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Keystate: k3 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_breakfast/g4.txt
Pet cat,Slice some chicken and give it to my cat.,[],"Time consume: 82 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Pet_cat/g2.txt
Pet cat,"Prepare a bowl of water and put the bowl on the table in home office. Then find my cat take it to th
e table.","['walk_executor(coffee_table_2068)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)', '
walk_executor(closetdrawer_120)', 'walk_executor(table_226)', 'walk_executor(bowl_2071)', 'grab_exec
utor(bowl_2071)', 'walk_executor(sink_42)', 'putin_executor(bowl_2071, sink_42)', 'walk_executor(bow
l_2071)', 'grab_executor(bowl_2071)', 'walk_executor(coffee_table_2068)', 'put_executor(bowl_2071, c
offee_table_2068)', 'grab_executor(bowl_2071)', 'walk_executor(faucet_43)', 'switchon_executor(fauce
t_43)', 'switchoff_executor(faucet_43)', 'walk_executor(coffee_table_2068)', 'put_executor(bowl_2071
, coffee_table_2068)', 'grab_executor(bowl_2071)', 'walk_executor(sink_42)', 'putin_executor(bowl_20
71, sink_42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_executor(fauce
t_43)', 'walk_executor(bowl_2071)', 'grab_executor(bowl_2071)', 'walk_executor(coffee_table_2068)', 
'put_executor(bowl_2071, coffee_table_2068)']","Time consume: 576 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.8571428571428572
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Pet_cat/g3.txt
Pet cat,Find my cat and touch it,"['walk_executor(couch_352)', 'walk_executor(cat_2055)', 'turnto_executor(cat_2055)', 'touch_executor
(cat_2055)']","Time consume: 61 seconds
Exp_helper query times: 0",Action Completion Rate: 0.0,cdl_dataset/dataset/Pet_cat/g1.txt
Pet cat,Wash my cat in a sink,"['walk_executor(sink_42)', 'walk_executor(sink_231)', 'walk_executor(plate_1000)', 'walk_executor(sh
ower_36)', 'walk_executor(towel_rack_34)', 'walk_executor(towel_2059)', 'walk_executor(toilet_37)', 
'open_executor(toilet_37)', 'walk_executor(detergent_2084)', 'walk_executor(couch_352)', 'walk_execu
tor(cat_2055)', 'grab_executor(cat_2055)', 'walk_executor(sink_42)', 'putin_executor(cat_2055, sink_
42)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'walk_executor(cat_2055)', 'wash_e
xecutor(cat_2055)']","Time consume: 190 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Pet_cat/g4.txt
Pet cat,Shower my cat in the bathtub. Use towel to dry my cat.,[],"Time consume: 87 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Pet_cat/g5.txt
Wash clothes,"Find the basket of clothes, put the clothes into the washing machine with some soap, and wash them.","['walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_116)', 'walk_executor(walllamp_28)',
 'walk_executor(washing_machine_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(bed_10
5)', 'walk_executor(ironing_board_2074)', 'walk_executor(bathroom_cabinet_40)', 'open_executor(bathr
oom_cabinet_40)', 'walk_executor(shower_36)', 'walk_executor(basket_for_clothes_2006)', 'open_execut
or(basket_for_clothes_2006) (Failed)']","Time consume: 273 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.12
Action Completion Rate: No actions required",cdl_dataset/dataset/Wash_clothes/g2.txt
Wash clothes,"Hand wash the jacket, then wash it by washing machine.","['walk_executor(closetdrawer_120)', 'walk_executor(hanger_142)', 'walk_executor(hanger_109)', 'walk_
executor(hanger_140)', 'walk_executor(hanger_132)', 'walk_executor(washing_machine_2007)', 'open_exe
cutor(washing_machine_2007)', 'walk_executor(couch_352)', 'walk_executor(clothes_jacket_2047)', 'gra
b_executor(clothes_jacket_2047)', 'walk_executor(sink_42)', 'putin_executor(clothes_jacket_2047, sin
k_42)', 'walk_executor(clothes_jacket_2047)', 'wash_executor(clothes_jacket_2047)', 'scrub_executor(
clothes_jacket_2047)', 'rinse_executor(clothes_jacket_2047)', 'grab_executor(clothes_jacket_2047)', 
'walk_executor(washing_machine_2007)', 'putin_executor(clothes_jacket_2047, washing_machine_2007)', 
'close_executor(washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'switchon_executor(
washing_machine_2007)']","Time consume: 235 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_clothes/g3.txt
Wash clothes,"Find the basket of clothes, wash those clothes by washing machine.","['walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_116)', 'walk_executor(closetdrawer_1
18)', 'walk_executor(bed_105)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_machin
e_2007)', 'walk_executor(trashcan_99)', 'walk_executor(shower_36)', 'walk_executor(basket_for_clothe
s_2006)', 'open_executor(basket_for_clothes_2006) (Failed)', 'grab_executor(clothes_pants_2085)', 'w
alk_executor(washing_machine_2007)', 'putin_executor(clothes_pants_2085, washing_machine_2007)', 'wa
lk_executor(clothes_shirt_2086)', 'grab_executor(clothes_shirt_2086)', 'walk_executor(washing_machin
e_2007)', 'putin_executor(clothes_shirt_2086, washing_machine_2007)', 'walk_executor(clothes_socks_2
087)', 'grab_executor(clothes_socks_2087)', 'walk_executor(washing_machine_2007)', 'putin_executor(c
lothes_socks_2087, washing_machine_2007)', 'walk_executor(clothes_skirt_2088)', 'grab_executor(cloth
es_skirt_2088)', 'walk_executor(washing_machine_2007)', 'putin_executor(clothes_skirt_2088, washing_
machine_2007)', 'close_executor(washing_machine_2007)', 'plugin_executor(washing_machine_2007)', 'sw
itchon_executor(washing_machine_2007)']","Time consume: 304 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/Wash_clothes/g1.txt
Wash clothes,"First, hand wash the underwear with soap, then put it in the washing machine, add some detergent for
 a thorough clean.","['walk_executor(closetdrawer_120)', 'walk_executor(hanger_142)', 'walk_executor(closetdrawer_119)', 
'walk_executor(closetdrawer_118)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_mac
hine_2007)', 'walk_executor(bed_105)', 'walk_executor(clothes_underwear_2049)', 'grab_executor(cloth
es_underwear_2049)', 'wash_executor(clothes_underwear_2049)', 'wash_executor(clothes_underwear_2049)
', 'walk_executor(sink_42)', 'walk_executor(soap_2053)', 'grab_executor(soap_2053)', 'walk_executor(
clothes_underwear_2049)', 'wash_executor(clothes_underwear_2049)', 'walk_executor(washing_machine_20
07)', 'putin_executor(clothes_underwear_2049, washing_machine_2007)', 'walk_executor(detergent_2084)
', 'grab_executor(detergent_2084)', 'walk_executor(washing_machine_2007)', 'putin_executor(detergent
_2084, washing_machine_2007)']","Time consume: 280 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.4
Keystate: k2 - Completion Rate: 0.7692307692307692
Action Completion Rate: 1.0",cdl_dataset/dataset/Wash_clothes/g4.txt
Iron clothes,Iron a pair of pants.,"['walk_executor(closetdrawer_120)', 'walk_executor(hanger_142)', 'walk_executor(hanger_109)', 'walk_
executor(closetdrawer_119)', 'walk_executor(closetdrawer_117)', 'walk_executor(closetdrawer_116)', '
walk_executor(bathroom_counter_41)', 'walk_executor(towel_rack_32)', 'walk_executor(basket_for_cloth
es_2006)', 'walk_executor(clothes_pants_2085)', 'walk_executor(bathroom_1)', 'walk_executor(ironing_
board_2074)', 'walk_executor(iron_2089)', 'walk_executor(ironing_board_2074)', 'walk_executor(clothe
s_pants_2085)', 'wash_executor(clothes_pants_2085)', 'walk_executor(iron_2089)', 'plugin_executor(ir
on_2089)', 'switchon_executor(iron_2089)', 'walk_executor(clothes_pants_2085)', 'grab_executor(cloth
es_pants_2085)', 'walk_executor(ironing_board_2074)', 'put_executor(clothes_pants_2085, ironing_boar
d_2074)', 'switchoff_executor(iron_2089)', 'plugout_executor(iron_2089)', 'walk_executor(iron_2089)'
, 'plugin_executor(iron_2089)', 'switchon_executor(iron_2089)', 'switchoff_executor(iron_2089)', 'pl
ugout_executor(iron_2089)']","Time consume: 334 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 1.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Iron_clothes/g2.txt
Iron clothes,Iron all the clothes in the laundry basket.,"['walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_380)', 'walk_executor(washing_machin
e_2007)', 'open_executor(washing_machine_2007)', 'walk_executor(ironing_board_2074)', 'walk_executor
(vacuum_cleaner_2070)', 'walk_executor(closetdrawer_116)', 'walk_executor(shower_36)', 'walk_executo
r(basket_for_clothes_2006)', 'open_executor(basket_for_clothes_2006) (Failed)']","Time consume: 283 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.05555555555555558
Action Completion Rate: 0.0",cdl_dataset/dataset/Iron_clothes/g3.txt
Iron clothes,Clean a shirt and iron this shirt.,"['walk_executor(closetdrawer_120)', 'walk_executor(hanger_142)']","Time consume: 115 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Iron_clothes/g1.txt
Iron clothes,"Iron a shirt, and put it in on the bed.",[],"Time consume: 136 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: 0.0",cdl_dataset/dataset/Iron_clothes/g4.txt
Iron clothes,Iron all the clothes in the basket,"['walk_executor(closetdrawer_120)', 'walk_executor(washing_machine_2007)', 'open_executor(washing_ma
chine_2007)', 'walk_executor(shower_36)', 'walk_executor(basket_for_clothes_2006)']","Time consume: 223 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.05555555555555558
Action Completion Rate: 0.0",cdl_dataset/dataset/Iron_clothes/g5.txt
Prepare dinner,Roast chicken with onion in the oven.,"['walk_executor(stove_2065)', 'switchon_executor(stove_2065)']","Time consume: 242 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g2.txt
Prepare dinner,Cook bacon.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fryingpan_2083)', 'grab_executor(fryingpan_208
3)', 'walk_executor(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(sto
ve_2065)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_executor(fridge_289)
', 'walk_executor(food_bacon_2010)', 'grab_executor(food_bacon_2010)', 'walk_executor(fryingpan_2083
)', 'put_executor(food_bacon_2010, fryingpan_2083)']","Time consume: 196 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.6
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g3.txt
Prepare dinner,Boil some rice by pot.,"['walk_executor(kitchen_counter_230)', 'walk_executor(cupboard_229)', 'open_executor(cupboard_229)',
 'walk_executor(bed_105)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)', 'open_exec
utor(fridge_289)', 'walk_executor(food_rice_2036)', 'walk_executor(pot_2069)', 'open_executor(pot_20
69)', 'walk_executor(food_rice_2036)', 'walk_executor(pot_2069)']","Time consume: 314 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.3529411764705882
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g1.txt
Prepare dinner,Fried rice with egg.,"['walk_executor(kitchen_counter_230)', 'walk_executor(fridge_289)', 'switchoff_executor(fridge_289)'
, 'open_executor(fridge_289)', 'walk_executor(food_rice_2036)', 'grab_executor(food_rice_2036)', 'wa
lk_executor(fryingpan_2083)', 'putin_executor(food_rice_2036, fryingpan_2083)', 'walk_executor(fridg
e_289)', 'walk_executor(food_egg_2020)', 'grab_executor(food_egg_2020)', 'walk_executor(fryingpan_20
83)', 'putin_executor(food_egg_2020, fryingpan_2083)', 'grab_executor(fryingpan_2083)', 'walk_execut
or(stove_2065)', 'put_executor(fryingpan_2083, stove_2065)', 'switchon_executor(stove_2065)', 'walk_
executor(dishwasher_1001)', 'open_executor(dishwasher_1001)', 'walk_executor(cupboard_229)', 'open_e
xecutor(cupboard_229)', 'walk_executor(closetdrawer_119)', 'walk_executor(stovefan_288)', 'walk_exec
utor(cup_2064)', 'walk_executor(tray_296)', 'walk_executor(sink_231)', 'walk_executor(food_rice_2036
)', 'grab_executor(food_rice_2036)', 'walk_executor(plate_1000)', 'put_executor(food_rice_2036, plat
e_1000)']","Time consume: 292 seconds
Exp_helper query times: 1","Keystate: k1 - Completion Rate: 0.23529411764705888
Keystate: k2 - Completion Rate: 0.5789473684210527
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_dinner/g4.txt
make up bed,Prepare a cup of water on the nightstand.,"['walk_executor(coffee_table_2068)', 'walk_executor(nightstand_100)', 'open_executor(nightstand_100)
', 'walk_executor(closetdrawer_120)', 'walk_executor(closetdrawer_116)', 'walk_executor(nightstand_1
02)', 'walk_executor(bed_105)', 'walk_executor(kitchen_counter_230)', 'walk_executor(cup_2063)', 'gr
ab_executor(cup_2063)', 'walk_executor(faucet_43)', 'switchon_executor(faucet_43)', 'switchoff_execu
tor(faucet_43)', 'walk_executor(nightstand_100)', 'put_executor(cup_2063, nightstand_100)']","Time consume: 207 seconds
Exp_helper query times: 1",1,cdl_dataset/dataset/make_up_bed/g3.txt
Turn on light,Turn on the lights in the bedroom. Then turn on the lights in the bathroom.,"['walk_executor(light_64)', 'switchon_executor(light_64)', 'walk_executor(light_169)', 'switchon_exe
cutor(light_169)']","Time consume: 54 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Turn_on_light/g2.txt
Turn on light,Make sure there is at least one light on in every room.,"['walk_executor(bathroom_1)', 'walk_executor(bedroom_67)', 'walk_executor(dining_room_201)', 'walk_e
xecutor(home_office_319)', 'walk_executor(light_411)', 'switchon_executor(light_411)', 'walk_executo
r(light_64)', 'switchon_executor(light_64)', 'walk_executor(light_169)', 'switchon_executor(light_16
9)', 'walk_executor(light_245)', 'switchon_executor(light_245)']","Time consume: 132 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Turn_on_light/g3.txt
Turn on light,Turn on the lights in the bathroom.,"['walk_executor(bathroom_1)', 'walk_executor(light_64)', 'switchon_executor(light_64)']","Time consume: 49 seconds
Exp_helper query times: 0",1,cdl_dataset/dataset/Turn_on_light/g1.txt
Prepare a reading space,Find the book and put it on the table in bedroom. Then turn on the light in the bedroom.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_e
xecutor(book_2066)', 'walk_executor(table_107)', 'put_executor(book_2066, table_107)', 'walk_executo
r(light_169)', 'switchon_executor(light_169)']","Time consume: 89 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 0.0
Keystate: k2 - Completion Rate: 1.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_a_reading_space/g2.txt
Prepare a reading space,Find a book and put it on the coffe table in home office. Then open the window in the home office.,"['walk_executor(bookshelf_354)', 'open_executor(bookshelf_354)', 'walk_executor(book_2066)', 'grab_e
xecutor(book_2066)', 'walk_executor(coffee_table_2068)', 'put_executor(book_2066, coffee_table_2068)
', 'walk_executor(window_348)', 'open_executor(window_348) (Failed)', 'walk_executor(book_2066)', 'o
pen_executor(book_2066) (Failed)', 'open_executor(book_2066) (Failed)', 'open_executor(book_2066) (F
ailed)', 'walk_executor(book_2067)']","Time consume: 236 seconds
Exp_helper query times: 0","Keystate: k1 - Completion Rate: 1.0
Keystate: k2 - Completion Rate: 0.0
Action Completion Rate: No actions required",cdl_dataset/dataset/Prepare_a_reading_space/g3.txt
